Age,LoanDuration,MonthlyPayment,Amount,Gender,IncomeTotal,UseOfLoan,Education,WorkExperience,HomeOwnershipType,OccupationArea,LossGivenDefault
48,18,162,1500,0,1200,7,4,5To10Years,2,1,0.9
48,60,87.12,1595,1,1037,7,4,10To15Years,2,9,0.75
38,60,164.26,5000,1,658,0,2,5To10Years,7,7,0.65
30,60,138.72,2945,0,1223,0,4,10To15Years,8,19,0.65
59,60,64.75,2000,0,2200,0,5,15To25Years,1,1,0.65
42,60,238.75,4285,0,2654,2,5,15To25Years,2,11,0.75
61,60,217.58,6910,1,1741,0,4,MoreThan25Years,6,17,0.68
39,60,93.48,2655,0,1200,0,2,15To25Years,1,8,0.9
42,60,16.65,530,0,1100,7,4,15To25Years,8,1,0.9
48,36,22.92,500,0,1800,7,2,MoreThan25Years,1,6,0.65
48,60,49.68,1060,0,1100,7,3,MoreThan25Years,2,1,0.75
24,60,203.53,4500,1,532,1,2,LessThan2Years,4,1,0.65
65,60,155.56,5100,0,1137,0,2,MoreThan25Years,3,1,0.68
49,60,306.86,8000,1,2160,7,4,15To25Years,1,1,0.9
34,60,194.22,6375,1,639,0,5,10To15Years,2,7,0.58
26,60,58.68,1600,1,495,2,4,5To10Years,3,7,0.65
56,60,39.65,1400,0,1845,3,4,MoreThan25Years,3,3,0.9
31,60,49.73,1060,0,1145,7,4,10To15Years,8,8,0.75
33,60,171.71,6000,0,2800,7,3,5To10Years,6,6,0.9
53,60,84.96,3000,0,2600,3,4,MoreThan25Years,1,16,0.9
26,24,33.73,530,0,1233,7,5,5To10Years,3,11,0.58
24,60,66.06,2000,0,1899,7,3,5To10Years,4,8,0.9
38,36,28.39,700,1,1097,2,4,5To10Years,1,19,0.65
36,60,245.04,5000,0,1600,3,4,10To15Years,1,1,0.65
54,60,138.67,4500,1,1342,2,4,MoreThan25Years,1,1,0.9
59,36,144.19,2500,0,1200,0,3,MoreThan25Years,1,6,0.9
46,60,27.12,530,0,832,1,2,15To25Years,1,1,0.75
35,60,54.54,1500,0,922,2,4,15To25Years,4,7,0.65
28,60,23.72,500,1,800,5,4,5To10Years,3,18,0.65
38,60,59.94,2000,1,430,7,2,5To10Years,1,16,0.65
28,36,70.48,1500,0,1518,6,4,5To10Years,8,3,0.65
41,60,268.2,7500,1,2100,7,3,2To5Years,4,19,0.9
26,60,86.29,2500,1,487,0,2,LessThan2Years,3,7,0.65
55,48,61.65,900,0,3000,7,5,15To25Years,4,1,0.9
44,60,323.64,9900,1,1064,2,2,MoreThan25Years,8,12,0.65
51,60,176.62,2535,1,1280,7,3,10To15Years,1,14,0.75
40,60,54.46,1595,1,1020,7,2,15To25Years,7,1,0.58
46,60,75.74,2500,1,1595,7,3,10To15Years,7,17,0.9
26,60,48.27,1380,1,630,2,4,5To10Years,1,7,0.58
37,60,278.73,7500,0,1068,2,3,2To5Years,1,6,0.9
43,60,107.05,925,0,743,2,3,15To25Years,1,1,0.9
41,60,311.52,10000,1,1811,0,4,5To10Years,3,17,0.9
26,12,274.31,2500,1,700,3,3,2To5Years,1,7,0.9
40,60,146.16,1710,0,1640,0,5,15To25Years,1,7,0.75
42,60,105.64,3000,0,1500,7,4,15To25Years,2,10,0.9
